CommonCode,Name,Description,Symbol,Annex,Alias,Active
M26,gigaohm per metre,,GΩ/m,1,GIGAOHM_PER_METRE_M26,0
A89,gigapascal,,GPa,1,GIGAPASCAL_A89,0
A90,gigawatt,,GW,1,GIGAWATT_A90,0
GWH,gigawatt hour,,GW*h,1,GIGAWATT_HOUR_GWH,0
N97,gilbert,CGS (Centimetre_Gram_Second system) unit of the magnetomotive force which is defined by the work to increase the magnetic potential of a positive common pol with 1 erg.,Gi,1,GILBERT_N97,0
GII,gill (UK),,gi (UK),2,GILL_UK_GII,1
K32,gill (UK) per day,,gi (UK)/d,1,GILL_UK_PER_DAY_K32,0
K33,gill (UK) per hour,,gi (UK)/h,1,GILL_UK_PER_HOUR_K33,0
K34,gill (UK) per minute,,gi (UK)/min,1,GILL_UK_PER_MINUTE_K34,0
K35,gill (UK) per second,,gi (UK)/s,1,GILL_UK_PER_SECOND_K35,0
GIA,gill (US),,gi (US),2,GILL_US_GIA,1
K36,gill (US) per day,,gi (US)/d,1,GILL_US_PER_DAY_K36,0
K37,gill (US) per hour,,gi (US)/h,1,GILL_US_PER_HOUR_K37,0
K38,gill (US) per minute,,gi (US)/min,1,GILL_US_PER_MINUTE_K38,0
K39,gill (US) per second,,gi (US)/s,1,GILL_US_PER_SECOND_K39,0
A91,gon,Synonym: grade,gon,1,GON_A91,0
A91,grade,,,1,GRADE_A91,0
GRN,grain,,gr,1,GRAIN_GRN,0
K41,grain per gallon (US),,gr/gal (US),1,GRAIN_PER_GALLON_US_K41,0
GRM,gram,,g,1,GRAM_GRM,0
M99,gram centimetre per second,Product of the 0001_fold of the SI base unit kilogram and the 001_fold of the SI base unit metre divided by the SI base unit second.,g*(cm/s),1,GRAM_CENTIMETRE_PER_SECOND_M99,0
GDW,gram dry weight,A unit of mass defining the number of grams of a product disregarding the water content of the product.,,2,GRAM_DRY_WEIGHT_GDW,1
GIC,gram including container,A unit of mass defining the number of grams of a product including its container.,,2,GRAM_INCLUDING_CONTAINER_GIC,1
GIP,gram including inner packaging,A unit of mass defining the number of grams of a product including its inner packaging materials.,,2,GRAM_INCLUDING_INNER_PACKAGING_GIP,1
H84,gram millimetre,,g*mm,1,GRAM_MILLIMETRE_H84,0
GFI,gram of fissile isotope,A unit of mass defining the number of grams of a fissile isotope (fissile isotope: an isotope whose nucleus is able to be split when irradiated with low energy neutrons).,gi F/S,2,GRAM_OF_FISSILE_ISOTOPE_GFI,1
GC,gram per 100 gram,,,2,GRAM_PER_100_GRAM_GC,1
F74,gram per bar,,g/bar,1,GRAM_PER_BAR_F74,0
